"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C5,C8";"CP_Radial_D18.0mm_P7.50mm";2;"2200uF";;;
2;"U1";"TO-220-5_Pentawatt_Multiwatt-5_Horizontal_StaggeredType1";1;"TDA2030A";;;
3;"Q1";"TO-220-4_Horizontal";1;"BD908";;;
4;"C1,C4,C6,C7";"C_Axial_L17.0mm_D6.5mm_P20.00mm_Horizontal";4;"0.22uF";;;
5;"C2";"CP_Radial_D6.3mm_P2.50mm";1;"47uF";;;
6;"D1,D2";"D_A-405_P10.16mm_Horizontal";2;"1N4001";;;
7;"P1";"AK300-2";1;"INPUT";;;
8;"P2";"AK300-2";1;"OUTPUT";;;
9;"P3";"AK300-2";1;"CONN_01X02";;;
10;"Q2";"TO-220-4_Horizontal";1;"BD907";;;
11;"R1,R2,R3";"R_Axial_DIN0516_L15.5mm_D5.0mm_P25.40mm_Horizontal";3;"56K";;;
12;"R4";"R_Axial_DIN0411_L9.9mm_D3.6mm_P20.32mm_Horizontal";1;"3.3K";;;
13;"R5";"R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal";1;"30K";;;
14;"R6,R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"1.5";;;
15;"R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"1";;;
16;"C3";"CP_Radial_D4.0mm_P2.00mm";1;"10uF";;;
17;"G***";"LOGO";1;"LOGO";;;
